;;;;;;;;;;
Nombre Propuesta;0;;;;;;;;;
Grupo Objetivo;0;;;;;;;;;
Cliente;0;;;;;;;;;
Fecha de aprobación estimada;0;;;;;;;;;
Fecha de campo;0;0;;;;;;;;
Probabilidad de aprobación;Alta;;;;;;;;;
SL;MSU;;;;;;;;;
Metodología SL;MSC005 - U&A;0;;;;;;;;
Record Detail;Ops;;;;;;;;;
Producto;Otro;0;;;;;;;;
Metodología de Recolección;Hogares;0;;;;;;;;
Técnica de Recolección 1;F2F;1;1;400;;;;;;
Técnica de Recolección 2;NINGUNA;0;;0;;;;;;
Bases de Datos;No requiere;0;;;;;;;;
Penetración;;Mas 82%;;;;;;;;
Duracion;;16-20minutos;;;;;;;;
# Preguntas abiertas;;0;;;;;;;;
# Preguntas abiertas Multiples;;0;;;;;;;;
Otros;;0;;;;;;;;
Top line;No;0;;;;;;;;
Datacleaning;Total;1;;;;;;;;
Conversión/generación archivos ASCII y otros;No;0;;;;;;;;
Requiere Script para reclutamiento;No;0;;;;;;;;
Scripting;Si;1;Nuevo;1;;;;;;
Codificación;No;0;;;;;;;;
Procesamiento;Si;1;;;;;;;;
# Procesamientos;;1;;;;;;;;
Requiere proceso Estadistico;No;0;;;;;;;;
Valor GMU (Brasil, francia, EEUU, etc.);;;;;;;;;;
Harmoni;No;0;;;;;;;;
Graficación;No;0;;;;;;;;
Otros costos;0;0;;;;;;;;
# Pag. Reprografia;;0;;;;;;;;
Número de Olas/rondas;1;;;;;;;;;
Envío a ciudades;No;0;;;;;;;;
Ciudades;1;;;;;;;;;
El estudio contempla niños;No;;;;;;;;;
Taxi a participantes;No;;;;;;;;;
Clase de Prueba;Monádica sequencial;2;1;;;;;;;
Requiere refrigeración anticipada;No;0;;;;;;;;
Valor de la compra del producto en caso de requerirlo; $ -   ;;;;;;;;;
Si requiere traslado del producto indique el Peso en gramos;0;;;;;;;;;
Etiquetado o Empaque(Dosificarlo),blind, o prueba a ciegas;Blind, o prueba a ciegas;1;;;;;;;;
Emabalaje ;No;;;;;;;;;
# Producto a testear;;2;;;;;;;;
# Product por respondiente;;2;;;;;;;;
# Patinadores por ciudad;2;2;;;;;;;;
Siembra y recolección;No;0;1;;;;;;;
Apoyo Reclutamiento en sitio;Ninguno;0;;;;;;;;
Muestra;400;;;;;;;;;
Sobre Muestra;0%;0;;;;;;;;
Muestra;400;;;;;;;;;
Productividad;6;;;;;;;;;
Días de Set up;4;;;;;;;;;
#Días de campo;15;;;;;;;;;
#Días;14;;;;;;;;;
# Horas DP;18;;;;;;;;;
# de Encuestadores;7;;;;;;;;;
# de Supervisores;2;;;;;;;;;
Incidencia;;Mas 82%;;;;;;;;
Valor por encuesta a encuestador sin parafiscales; $ 12.227 ; $ 12.227 ;;;;;;;;
Parafiscales;16,522%; $ 2.020 ;;;;;;;;
Tasa Cambiaria;Junio;4111,28;;;;;;;;
;;;;;;;;;;
Valor encuestas;; $ 5.699.043 ; $ 14.247,61 ;; $ 5.699.042,55 ;#DIV/0!;;;;
Valor encuestas CATI;; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor Campo Internacional;; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor Campo EXTERNO;; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor encuestas Auto aplicado/Online;; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor encuestas Auto aplicado  INNO; $ 88.719 ; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor encuestas Mystery;; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Valor encuesta Shopper  por día; $ 88.719 ; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
