KEY;SL;Record_Detail_Level;Metodologia;Horas;Horas PMO;;;;;;;;;;;;;;
INNO | Ops | IPD001  Product Test;INNO;Ops;IPD001  Product Test;1;;;;RESEARCH COP;Loaded Cost Rate;Inno;CEX;BHT;CRE;HEC;IUU;MSU;PA;Strategy3;Más Alto
INNO | IIS | IPD001  Product Test;INNO;IIS;IPD001  Product Test;-;;;;Research - Level 1; 639.787 ;750.760;750.760;750.760;750.760;750.760;750.760;750.760;750.760;750.760;750.760
INNO | Digital | IPD001  Product Test;INNO;Digital;IPD001  Product Test;-;;;;Research - Level 2; 639.787 ;507.287;644.069;453.021;507.846;418.672;541.150;750.760;565.457;507.287;565.457
INNO | L4 | IPD001  Product Test;INNO;L4;IPD001  Product Test;14;;;;Research - Level 3; 478.759 ;417.838;560.438;319.903;402.002;418.672;402.585;324.282;565.457;417.838;319.903
INNO | L5 | IPD001  Product Test;INNO;L5;IPD001  Product Test;20;;;;Research - Level 4; 220.365 ;279.135;273.442;311.784;233.797;274.152;253.958;279.135;191.534;297.513;233.797
INNO | L6 | IPD001  Product Test;INNO;L6;IPD001  Product Test;80;;;;Research - Level 5; 121.326 ;140.349;168.527;158.297;169.282;126.991;139.082;145.928;133.120;152.671;152.671
INNO | L7 | IPD001  Product Test;INNO;L7;IPD001  Product Test;82;;;;Research - Level 6; 81.046 ;95.635;114.993;110.266;115.969;91.668;78.463;97.287;99.374;121.589;121.589
INNO | Ops | ICI001  Custom Inno & Forecasting;INNO;Ops;ICI001  Custom Inno & Forecasting;-;;;;Research - Level 7; 60.427 ;46.628;61.308;61.308;42.602;41.657;46.827;46.827;48.436;61.308;46.628
INNO | IIS | ICI001  Custom Inno & Forecasting;INNO;IIS;ICI001  Custom Inno & Forecasting;1;;;;;;;;;;;;;;;
INNO | Digital | ICI001  Custom Inno & Forecasting;INNO;Digital;ICI001  Custom Inno & Forecasting;-;;;;;;;;;;;;;;;
INNO | L4 | ICI001  Custom Inno & Forecasting;INNO;L4;ICI001  Custom Inno & Forecasting;3;;;;OPS  COP;Loaded Cost Rate;"Billing Rate
Standard";PROFESIONAL TIME (HORAS EN I-TIME);;;;;;;;
INNO | L5 | ICI001  Custom Inno & Forecasting;INNO;L5;ICI001  Custom Inno & Forecasting;31;;;;Research - Level 3; 64.142 ; 74.672 ;64.142;;;;;;;;
INNO | L6 | ICI001  Custom Inno & Forecasting;INNO;L6;ICI001  Custom Inno & Forecasting;78;;;;Research - Level 4; 64.142 ; 74.672 ;64.142;;;;;;;;
INNO | L7 | ICI001  Custom Inno & Forecasting;INNO;L7;ICI001  Custom Inno & Forecasting;88;;;;Research - Level 5; 64.142 ; 74.672 ;64.142;;;;;;;;
INNO | Ops | INC002  Inno Line;INNO;Ops;INC002  Inno Line;-;;;;Research - Level 6; 63.211 ; 72.934 ;63.211;;;;;;;;
INNO | IIS | INC002  Inno Line;INNO;IIS;INC002  Inno Line;1;;;;Research - Level 7; 63.211 ; 72.934 ;63.211;;;;;;;;
INNO | Digital | INC002  Inno Line;INNO;Digital;INC002  Inno Line;-;;;;;;;;;;;;;;;
INNO | L4 | INC002  Inno Line;INNO;L4;INC002  Inno Line;9;;;;;;;;;;;;;;;
INNO | L5 | INC002  Inno Line;INNO;L5;INC002  Inno Line;17;;;;TARIFAS PRODUCTIVIDAD;EN COP;16,52%;;;;;;;;;
INNO | L6 | INC002  Inno Line;INNO;L6;INC002  Inno Line;79;;;;LIDER DE VERIFICACION; 11.436,00 ;1889,45592; 13.325,46 ;;;;;;;;
INNO | L7 | INC002  Inno Line;INNO;L7;INC002  Inno Line;71;;;;LIDER DE CRITICA; 11.436,00 ;1889,45592; 13.325,46 ;;;;;;;;
INNO | Ops | INC003  Inno Price;INNO;Ops;INC003  Inno Price;1;;;;ASISTENTE CRITICA; 9.037,00 ;1493,09314; 10.530,09 ;;;;;;;;
INNO | IIS | INC003  Inno Price;INNO;IIS;INC003  Inno Price;1;;;;ASISTENTE VERIFICACION; 9.037,00 ;1493,09314; 10.530,09 ;;;;;;;;
INNO | Digital | INC003  Inno Price;INNO;Digital;INC003  Inno Price;-;;;;CODIFICACION; 9.859,00 ;1628,90398; 11.487,90 ;;;;;;;;
INNO | L4 | INC003  Inno Price;INNO;L4;INC003  Inno Price;9;;;;ASISTENTE OPERACIONES (BQUILLA); 11.261,00 ;1860,54242; 13.121,54 ;;;;;;;;
INNO | L5 | INC003  Inno Price;INNO;L5;INC003  Inno Price;17;;;;LIDER DE CALIDAD; 14.612,00 ;2414,19464; 17.026,19 ;;;;;;;;
INNO | L6 | INC003  Inno Price;INNO;L6;INC003  Inno Price;79;;;;;;;;;;;;;;;
INNO | L7 | INC003  Inno Price;INNO;L7;INC003  Inno Price;71;;;;;;;;;;;;;;;
INNO | Ops | ICO006  InnoTest Manual;INNO;Ops;ICO006  InnoTest Manual;-;;;;;;;;;;;;;;;
INNO | IIS | ICO006  InnoTest Manual;INNO;IIS;ICO006  InnoTest Manual;1;;;;;;;;;;;;;;;
INNO | Digital | ICO006  InnoTest Manual;INNO;Digital;ICO006  InnoTest Manual;-;;;;;;;;;;;;;;;
INNO | L4 | ICO006  InnoTest Manual;INNO;L4;ICO006  InnoTest Manual;22;;;;;;;;;;;;;;;
INNO | L5 | ICO006  InnoTest Manual;INNO;L5;ICO006  InnoTest Manual;16;;;;;;;;;;;;;;;
