;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Nombre Propuesta/#;;;;;;;;;;;;;
;;Grupo Objetivo;;;;;;;;;;;;;
;;Cliente;;;;;;;;;;;;;
;;Fecha de aprobación estimada;;;;; ;;;;;;;;
;;Fecha de campo;;;;;;;;;;;;;
;;Probabilidad de aprobación;Alta;;;;;;;;;;;;
;;SL;MSU;;;;;;;;;;;;
;;Metodología SL;MSC005 - U&A;;;;;;;;;;;;
;;Record Detail;Ops;;;;;;;;;;;;
;;Categoria /Producto;Otro;0;0;;;;;;;;;;
;;Valor proveedor EXTERNO COLOMBIA;;;;Días de campo;No Enc por Locación;;;;;;;;
;;Valor proveedor INTERNACIONAL;;;;;;;;;;;;;
;;Metodología de Recolección;Hogares;0;TIPO VISITA 1;Básica - Video;;TIPO VISITA 2;Ninguna;;TIPO VISITA 3 ;Ninguna;;;
;;Técnica de Recolección 1: Ir a diligenciar muestra;F2F;1;TIPO VISITA 1;;;TIPO VISITA 2;;;TIPO VISITA 3 ;;;;
;;Técnica de Recolección 2: Ir a diligenciar muestra;NINGUNA;0;;;;;;;;;;;
;;Base de datos;No requiere;0; $ -   ;0;;;;;;;;;
;;Penetración;0,82;Mas 82%;Recuerde siempre revisar la incidencia con el área de costos, Sara Vergara o Sandra Guecha;;;;;;;;;;
;;Duracion;20;16-20minutos;0;;;;;;;;;;
;;# Preguntas abiertas;;;;;;;;;;;;;
;;# Preguntas abiertas Multiples;;;;;;;;;;;;;
;;Otros;;;;;;;;;;;;;
;;Top line;No;0;;;;;;;;;;;
;;Datacleaning;Total;1;;;;;;;;;;;
;;Conversión/generación archivos ASCII y otros;No;0;;;;;;;;;;;
;;Requiere Script para reclutamiento;No;0;;;;;;;;;;;
;;Scripting;Si;1;Nuevo;;;;;;;;;;
;;Codificación;No;0;;;;;;;;;;;
;;Procesamiento;Si;1;;;;;;;;;;;
;;# Procesamientos;;1;;;;;;;;;;;
;;Requiere proceso Estadistico;No;0;0;;;;;;;;;;
;;Valor GMU (Brasil, francia, EEUU, etc.); $ -   ;;;;;;;;;;;;
;;Días de Set up;2;4;;;;;;;;;;;
;;#Días de campo;10;15;;;;;;;;;;;
;;Harmoni;No;0;;;;;;;;;;;
;;Graficación;No;0;;;;;;;;;;;
;;Otros costos;;;;;;;;;;;;;
;;Viáticos para Campo;;;;;;;;;;;;;
;;Otros Incentivos;;;;;;;;;;;;;
;;# Pag. Reprografia/ Tarjetas;;;;;;;;;;;;;
;;Número de Olas/rondas;1;0;;;;;;;;;;;
;;Envío a ciudades;No;18;;17;16;15;;;;;;;
;;Si requiere traslado del producto indique el Peso en gramos;;;;;;;;;;;;;
;;Porcentaje de Sobre Muestra;0%;;;;;;;;;;;;
;;Ciudades;1;31;136;142;57;19;15;CATI;;;;;
;;Muestra ;400;NSE 1;NSE 2;NSE 3;NSE 4;NSE 5;NSE 6;;;;;;
;VERDADERO;Bogota;400;31;136;142;57;19;15;;;;;;
;FALSO;B/quilla;0;0;0;0;0;0;0;;;;;;
;FALSO;M/llin;0;0;0;0;0;0;0;;;;;;
;FALSO;Cali;0;0;0;0;0;0;0;;;;;;
;FALSO;B/manga;0;0;0;0;0;0;0;;;;;;
;FALSO;C/gena;0;0;0;0;0;0;0;;;;;;
;FALSO;Otras Ciudades;0;0;0;0;0;0;0;;0;;;;
;;Valor del  Reclutamiento en caso de requerirlo;Ninguno; $ 20.000 ;; $ 20.000 ; $ 25.000 ; $ 30.000 ;;;;;;;
;;Valor del Obsequio  en caso de requerirlo;No; $ 25.000 ;; $ 25.000 ; $ 30.000 ; $ 30.000 ;;;;;;;
0;;El estudio contempla Niños;No;22;;21;20;19;;;;;;;
;;Taxi a participantes;No;0;;;;;;;;;;;
;;Clase de Prueba;Monádica sequencial;2;;;;;;;;;;;
;;Requiere refrigeración anticipada;No;0;;;;;;;;;;;
;;Valor de la compra del producto en caso de requerirlo; $ -   ;;;;;;;;;;;;
;;Etiquetado, blind, o prueba a ciegas;Blind, o prueba a ciegas;;;;;;;;;;;;
;;Embalaje ;No;;;;;;;;;;;;
;;# Producto a testear;Si;2;;;;;;;;;;;
;;# Product por respondiente;Si;2;;;;;;;;;;;
;;# Patinadores por ciudad;Si;2;;;;;;;;;;;
;;Siembra y recolección;No;0;;;;;;;;;;;
;;Apoyo Reclutamiento en sitio;Ninguno;0;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;Mystery/Shopper Tipo Visita 1;Mystery/Shopper Tipo Visita 2;Mystery/Shopper Tipo Visita 3;;;;;;;;;;
;;No. Olas;1;1;1;;;;;;;;;;
;;Desplazamientos (viaticos);$ 0 ;;;;;;;;;;;;
;;Otro tipo de desplazamiento - Tanqueos - consumos ;$ 0 ;;;;;;;;;;;;
;;Alertas tempranas - Fotocopia a color ;0;1;;;;;;;;;;;
;;Edición videos - Apoyo Logístico;0;;;;;;;;;;;;
;;Alquiler equipos y otros - Tablets - Plan de datos - Vr. Mensual (Act. Subcontratada);$ 0 ;;;;;;;;;;;;
;;Compra de dispositivos de grabación ;Si;No;No;;;;;;;;;;
;;# Horas capacitaciones / entrega (Coord campo);4;;;;;;;;;;;;
;;# Horas del PMO;36;;;;;;;;;;;;
;;# Horas del Asist. Campo (Coord. Campo);36;;;;;;;;;;;;
;;Apoyo otra asistencia - Unificación videos ;Si;No;No;;;;;;;;;;
;;Apoyo otra asistencia - RMC ;Si;No;No;;;;;;;;;;
;;Solución a descargos;Si;No;No;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Otros ;$ 0 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;; Metodologías VS Horas por cargo SL;Horas Minimas;Horas Presupuestadas;Valor Total;;;;;;;;;;
;;L3;0;;$ 0 ;;;;;;;;;;
;;L4;20;;$ 0 ;;;;;;;;;;
;;L5;85;;$ 0 ;;;;;;;;;;
;;L6;95;;$ 0 ;;;;;;;;;;
;;L7;140;;$ 0 ;;;;;;;;;;
;;Total;340;0;$ 0 ;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;Valor Total;;;;;;;;;;;;
;;Conversión/generación archivos ASCII y otros;$ 0 ;;Resumen de Costos Operativos;;;;;;;;;;
;;Estadistica;$ 0 ;0;Campo+Calidad+ Viáticos;$ 19.935.082 ;;;;;;;;;
;;Scripting;$ 1.645.392 ;;TDD (Script+Code+Proc);$ 5.066.581 ;;;;;;;;;
;;Datacleaning;$ 1.389.609 ;;Incentivos;$ 0 ;;;;;;;;;
;;TopLines;$ 0 ;;Estadistica;$ 0 ;;;;;;;;;
;;Procesamiento;$ 1.068.930 ;;Total; $ 25.001.663 ;;;;;;;;;
;;Harmoni;$ 0 ;;;;;;;;;;;;
;;Graficación;$ 0 ;;;;;;;;;;;;
;;Staff OPS;$ 4.103.931 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;21,45%;;;;;;;;;;;;;
;;21,45%;21,45%;;;;;;;;;;;;
;;21,45%;388072858422431000000000000000000000000000000000000000000,00%;;;;;;;;;;;;
;;;1,42723E+33;;;;;;;;;;;;
;;Valor Unitario;$ 675.248 ;;;;;;;;;;;;
;;AOT;$ 270.099.190 ;;;#DIV/0!;;;;;;;;;
;;Direct cost OPS;($ 25.001.663);;;#DIV/0!;;;;;;;;;
;;GM;$ 245.097.526 ;90,7%;; OP SL/Ops ;15,0%;;;;;;;;
;;PB+RMF;($ 11.614.265);4,3%;;;;;;;;;;;
;;Prof Time;$ 0 ;;;;;;;;;;;;
;;OP;$ 233.483.261 ;;;;;;;;;;;;
;;%OP;86%;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
