 1 ; Tipo de Visita ; Complejidad ;;; No. Olas ; 1 ; No. Olas ; 1 ; No. Olas ; 1 ; No. Olas ; 3 ;;;;;
 1 ; TIPO VISITA 1 ; Básica - Video ; 1 ;;;;;;;;;;;;;;
 -   ; TIPO VISITA 2 ; Ninguna ; -   ;;;;;;;;;;;;;;
 -   ; TIPO VISITA 3  ; Ninguna ; -   ; -   ; TIPO DE VISITA 1 - SEGMENTO 1 ;; TIPO DE VISITA 2 - SEGMENTO 2 ;; TIPO DE VISITA 3 - SEGMENTO 3 ;; TOTAL ESTUDIO X OLA ;;;;;;
 Costeo Mystery Shopper ;; Descripción Costo ; Cod. Matrix ; Vr. Unitario ; CANTIDAD  ; TOTAL ; CANTIDAD  ; TOTAL ; CANTIDAD  ; TOTAL ; CANTIDAD  ; TOTAL ; OBSERVACIONES ;;;;
 Costo Directo ; Mystery Shopper ; TIPO VISITA 1 ; 5.418 ; 55.000 ; -   ; $ -   ;; $ -   ;;; -   ; $ -   ;;;;;
 Costo Directo ; Mystery Shopper ; TIPO VISITA 2 ; 5.418 ; -   ;;; -   ; $ -   ;;; -   ; $ -   ;;;;;
 Costo Directo ; Mystery Shopper ; TIPO VISITA 3  ; 5.418 ; -   ;;;;; -   ; $ -   ; -   ; $ -   ;;;;;
 Costo Directo ; Operación ; Coord Campo - Capacitaciones / entrega (PMO) ; 5.420 ; 69.235 ; 4 ; $ 276.940 ; -   ; $ -   ; -   ; $ -   ; 4 ; $ 276.940 ;;;;;
 Costo Directo ; Operación ; Asist. Campo - capacitaciones / entrega (Coord campo) ; 5.420 ; 69.235 ; 4 ; $ 276.940 ; -   ; $ -   ; -   ; $ -   ; 4 ; $ 276.940 ;;;;;
 Costo Directo ; Operación ; Coord Campo (PMO) ; 5.420 ; 69.235 ; 36 ; $ 2.492.460 ; -   ; $ -   ; -   ; $ -   ; 36 ; $ 2.492.460 ;;;;;
 Costo Directo ; Operación ; Asist. Campo (Coord. Campo) ; 5.420 ; 69.235 ; 36 ; $ 2.492.460 ; -   ; $ -   ; -   ; $ -   ; 36 ; $ 2.492.460 ;;;;;
 Costo Directo ; Operación ; Apoyo otra asistencia - Unificación videos  ; 200 ; 69.235 ; 10 ; $ 692.350 ; 10 ; $ -   ; 10 ; $ -   ; 30 ; $ 692.350 ;;;;;
 Costo Directo ; Operación ; Apoyo otra asistencia - RMC  ; 200 ; 69.235 ; 10 ; $ 692.350 ; 10 ; $ -   ; 10 ; $ -   ; 30 ; $ 692.350 ;;;;;
 Costo Directo ;; Seguimiento Mysterys ;;; -   ; $ 6.923.501 ; -   ; $ -   ; -   ; $ -   ; -   ; $ 6.923.501 ;;;;;
 Costo Directo ; CRITICA-Revisión encuestas ; TIPO VISITA 1 ; 5.504 ; 111.921 ; -   ; $ -   ;;;;; -   ; $ -   ;;;;;
 Costo Directo ; CRITICA-Revisión encuestas ; TIPO VISITA 2 ; 5.504 ; 111.921 ;;; -   ; $ -   ;;; -   ; $ -   ;;;;;
 Costo Directo ; CRITICA-Revisión encuestas ; TIPO VISITA 3 ; 5.504 ; 111.921 ;;;;; -   ; $ -   ; -   ; $ -   ;;;;;
 Costo Directo ; CRITICA-Revisión encuestas ; Capacitación y entrega ; 5.504 ; 111.921 ; 1,1 ; $ 124.357 ; 1,1 ; $ -   ; 1,1 ; $ -   ; 3 ; $ 124.357 ; El valor para otras olas será del 50% del costo de la ola 1 ;;;;
 Costo Directo ; CRITICA-Revisión encuestas ; Solución a descargos ; 5.504 ; 111.921 ; 1 ; $ 111.921 ; 1 ; $ -   ; 1 ; $ -   ; 3 ; $ 111.921 ;;;;;
 Costo Directo ;; Critica ; 5.504 ;;; $ 236.278 ;; $ -   ;; $ -   ;; $ 236.278 ;;;;;
 Costo Directo ; Desplazamientos (viaticos) ; Desplazamientos (viaticos) ; 9.997 ; 1 ; -   ; $ -   ; -   ; $ -   ; -   ; $ -   ; -   ; $ -   ;;;;;
 Costo Directo ; Otro tipo de desplazamiento - Tanqueos - consumos  ; XXXX ; 9.997 ; 1 ; -   ; $ -   ; -   ; $ -   ; -   ; $ -   ; 1 ; $ -   ;;;;;
 Costo Directo ;; Desplazamientos ;;;; $ -   ;; $ -   ;; $ -   ;; $ -   ;;;;;
 Costo Directo ; Costo Telefonico Obtención citas ;; 6.305 ; 30.000 ; 1 ; $ 30.000 ; -   ; $ -   ; -   ; $ -   ; 1 ; $ 30.000 ;;;;;
 Costo Directo ; Fotocopias ; Alertas tempranas - Fotocopia a color  ; 9.997 ; 1.157 ; -   ; $ -   ; 1 ; $ -   ; -   ; $ -   ; 1 ; $ -   ;;;;;
; SUBTOTAL COSTOS DIRECTOS ;;;;; $ 7.189.779 ;; $ -   ;; $ -   ;; $ 7.189.779 ;;;;;
 Costo Directo ; Edición videos - Apoyo Logístico ;; 8.005 ; 23.144 ; -   ; $ -   ; 1 ; $ -   ; -   ; $ -   ; 1 ; $ -   ;;;;;
 Costo Directo ; Edición videos - Apoyo Logístico Extra ;; 8.005 ; 18.936 ; -   ; $ -   ; 0 ; $ -   ; -   ; $ -   ; 0 ; $ -   ;;;;;
 Costo Directo ; Alquiler equipos y otros - Tablets - Plan de datos - Vr. Mensual (Act. Subcontratada) ; Solicitud recargas alertas tempranas  ; 454 ; 1 ; -   ; $ -   ; -   ; $ -   ; -   ; $ -   ; 1 ; $ -   ;;;;;
 Costo Directo ; Otros  ; Botas de seguridad, implementos adicionales para la opreación  ; 9.997 ; 1 ; -   ; $ -   ; -   ; $ -   ; -   ; $ -   ; 1 ; $ -   ;;;;;
 Costo Directo ; Valor de reclutamiento VISITA TIPO 1 ;; 9.997 ; 25.000 ; -   ; $ -   ;;;;; -   ; $ -   ;;;;;
 Costo Directo ; Valor de reclutamiento VISITA TIPO 2 ;; 9.997 ; -   ;;; -   ; $ -   ;;; -   ; $ -   ;;;;;
