No.;Categoría de servicio;Análisis/servicios;Explicación del modelo o entregable;Ejemplo de entregable;Total de horas estimadas*;Precio de referencia (2024);Factor para manejar economía de escala;En cuánto tiempo aproximadamente se entrega uno de los procesos, previo agendamiento.;"Número de modelos a realizar


(Se debe llenar)";Precio de referencia por X modelos - Ahorro por economía de escala;;;;;;;;;
1;Procesos Especiales;Modelo de satisfacción (CX-variable respuesta en escala); Es un modelo (completo y el mejor modelo) que se entrega en una hoja excel, con una hoja inicial de guía para interpretación. La condición es que todas las variables deben venir en escala que miden el nivel de satisfacción. ;;2; $ 224.910 ; 0,60 ;Dos días;0; -   ;0;;;;;;;;
2;Procesos Especiales;Orden de atributos o Análisis de Drivers (variable respuesta en escala); Un modelo (completo y el mejor modelo) se entrega en una hoja excel, con una hoja inicial de guía para interpretación. La condición es que todas las variables deben venir en escala. ;;3; $ 286.856 ; 0,30 ;Dos días;0; -   ;0;;;;;;;;
3;Procesos Especiales;Orden de atributos o Análisis de Drivers (variable respuesta dicotómica); Un modelo GLM o de machine learning (el mejor modelo), el cual se entrega en una hoja excel, con una hoja inicial de guía para interpretación. Esto ocurre cuando la variable respuesta (Y) es una variable que contiene ceros y unos. ;;4; $ 449.820 ; 0,30 ;Dos días;0; -   ;0;;;;;;;;
4;Procesos Especiales;Random Forest; Es un modelo dentro de los modelos de machine learning, el cual se entrega en una hoja excel, con una hoja inicial de guía para interpretación. ;;3,5; $ 317.829 ; 0,30 ;Dos días;0; -   ;0;;;;;;;;
5;Procesos Especiales;Modelos GLM (variable con respuesta dicotómica); Un modelo GLM o de machine learning (el mejor modelo), el cual se entrega en una hoja excel, con una hoja inicial de guía para interpretación. Esto ocurre cuando la variable respuesta (Y) es una variable que contiene ceros y unos. ;;9; $ 759.550 ; 0,30 ;Dos días;0; -   ;0;;;;;;;;
6;Procesos Especiales;Modelos de machine learning;Es un modelo de machine learning que aprende de la información existente y predice la información del indicador para los encuestado. Se entrega un documento del modelo y la BDD con la variable predicha.;;30; $ 3.878.740 ; 0,30 ;Cuatro días;0; -   ;0;;;;;;;;
7;Procesos Especiales;Modelos para tasa de no respuesta muy altas;Es un modelo de machine learning que aprende de la información recolectada y predice, con información existente de los no-encuestado, la información faltante. Se entrega un documento del modelo y la BDD con la variable predicha.;;10; $ 1.023.532 ; 0,50 ;Tres días;0; -   ;0;;;;;;;;
8;Procesos Especiales;Modelo de anonimización;Es un modelo de machine learning que anonimiza variables cualitativa o cuantitativas, para la no posible identificación del encuestado, sin afectar los resultados descriptivos. Se entrega un documento del modelo y la BDD con la variable anonimizada.;Y BDD…;8; $ 899.640 ; 0,50 ;Tres días;0; -   ;0;;;;;;;;
9;Procesos Especiales;Graphical modelling (INNO-sin magnitud de la relación); Se entrega un grafo en archivo .html interactivo, que muestra relaciones entre atributos y una variable respuesta en escala o dicotómica. ;;2,5; $ 356.901 ; 0,70 ;Dos días;0; -   ;0;;;;;;;;
10;Procesos Especiales;Graphical modelling (con magnitud de la relación);Se entrega un grafo en archivo .html interactivo, que muestra relaciones entre atributos y una variable respuesta en escala o dicotómica, en donde se incluye la magnitud de la relación para cada enlace, que representa la fuerza de la relación existente entre los dos atributos.;;3; $ 387.874 ; 0,70 ;Dos días;0; -   ;0; 271.512 ;-$ 271.512 ;-543024;;;;;
