; Duración ;16-20minutos;# Ciudades;1; Incidencia ;Mas 82%;;;;;;;;;
;# de Productos;2;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;CIUDAD;;;;;;;;;;;;;;
;Bogota;B/quilla;M/llin;Cali;B/manga;C/gena;Otras Ciudades;Total;;;;;;;
NSE 6;15;0;0;0;0;0;0;15;;;;;;;
NSE 5;19;0;0;0;0;0;0;19;;;;;;;
NSE 4;58;0;0;0;0;0;0;58;;;;;;;
NSE 3;143;0;0;0;0;0;0;143;;;;;;;
NSE 2;137;0;0;0;0;0;0;137;;;;;;;
NSE 1;31;0;0;0;0;0;0;31;;;;;;;
Total;403;0;0;0;0;0;0;403;;;;;;;
Enc;7;6;7;7;7;7;6;7;;;;;;;
Prod;4;5;5;5;5;5;5;5;;;;;;;
Dias;14;0;0;0;0;0;0;14;;;;;;;
Sup;2;0;0;0;0;0;0;2;;;;;;;
Log;2;2;2;2;2;2;2;2;;;;;;;
;1;0;0;0;0;0;0;;;;;;;;
;Insumos CLT; Precio 2024 ; Unid ;Cantidad;Valor Total;;;;;;;;;;
 $ 690 ;agua Prueba; $ 726 ; 1 ;806; $ -   ;;;;;;;;;;
 $ 4.300 ;platos; $ 4.524 ; 20 ; 161 ; $ -   ;;;;;;;;;;
 $ 6.200 ;galletas soda; $ 6.522 ; 20 ; 40 ; $ -   ;;;;;;;;;;
 $ 3.500 ;vasos Agua; $ 3.682 ; 25 ; 32 ; $ -   ;;;;;;;;;;
 $ 5.200 ;vasos Murano; $ 5.470 ; 12 ; 67 ; $ -   ;;;;;;;;;;
 $ 5.000 ;servilletas; $ 5.260 ; 200 ; 4 ; $ -   ;;;;;;;;;;
 $ 5.000 ;bolsas basura; $ 5.260 ; 6 ; 1 ; $ -   ;;;;;;;;;;
 $ 37.000 ;guantes nitrilo; $ 38.924 ; 50 ; 3 ; $ -   ;;;;;;;;;;
 $ 27.000 ;Cofias; $ 28.404 ; 100 ; 2 ; $ -   ;;;;;;;;;;
 $ 1.600 ;delantales desechables; $ 1.683 ; 1 ; 100,8 ; $ -   ;;;;;;;;;;
 $ 14.000 ;Rollo de papel secante; $ 14.728 ; 120 ; 48 ; $ -   ;;;;;;;;;;
 $ 40.000 ;Gel antibacterial; $ 42.080 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 37.000 ;Alcohol; $ 38.924 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 8.700 ;Toalla de Mano; $ 9.152 ; 150 ; 8 ; $ -   ;;;;;;;;;;
 $ 13.000 ;Tapabocas; $ 13.676 ; 100 ; 4 ; $ -   ;;;;;;;;;;
 $ 13.000 ;Tapabocas Entrevistados; $ 13.676 ; 100 ; 4 ; $ -   ;;;;;;;;;;
 $ 35.000 ;Jabon liquido; $ 36.820 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 4.090 ;Jabo lavaloza; $ 4.303 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 4.950 ;Esponjas; $ 5.207 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 4.700 ;Guantes de cocina; $ 4.944 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 1.100 ;Envase gel; $ 1.157 ; 1 ; 1 ; $ -   ;;;;;;;;;;
 $ 220.000 ;Envio Prod a Mllin; $ 231.440 ; 1 ;; $ -   ;;;;;;;;;;
 $ 50.000 ;Envio Prod a BAQ; $ 52.600 ; 1 ;; $ -   ;;;;;;;;;;
 $ 50.000 ;Envio Prod a Data System; $ 52.600 ; 1 ;; $ -   ;;;;;;;;;;
 $ 970.000 ;Neveras; $ 1.020.440 ; 1 ;; $ -   ;;;;;;;;;;
 $ 430.000 ;Alquiler de Congelador; $ 452.360 ; 1 ;; $ -   ;;;;;;;;;;
;;; 1 ;; $ -   ;;;;;;;;;;
;;; 2 ;; $ -   ;;;;;;;;;;
;;; 1 ;; $ -   ;;;;;;;;;;
;;; 1 ;; $ -   ;;;;;;;;;;
;;; 1 ;; $ -   ;;;;;;;;;;
;;; 1 ;; $ -   ;;;;;;;;;;
;Total;;;; $ -   ; $ -   ;;;;;;;;;
;;;;;;;;;;;;;;;
;;Mas 82%;;;;;;;;;;;;;
;;Valor;Cantidad;Valor Total;;;;;Cencosud;Virtual;No hay comisión no hay cobros adicionales;;;;
15;Reclutamiento NSE  5 - 6; $ 30.000 ;34; $ -   ;;0;0;;;Fisico;;;;;
17;Reclutamiento NSE 4; $ 25.000 ;58; $ -   ;;0;0;;;;;;;;
18;Reclutamiento NSE 3; $ 20.000 ;143; $ -   ;;0;;;Éxito;Comisión del 3%;;;;;
19;Reclutamiento NSE 1-2; $ 20.000 ;168; $ -   ; $ -   ;0;;;;Fisico;15.000;Valor adicional por el envio;;;
20;Obsequios NSE 5-6; $ 30.000 ;34; $ -   ;Sin gross ops;0;;;;;;;;;
22;Obsequios NSE 4; $ 30.000 ;58; $ -   ;;0;;;;;;;MSU;;
23;Obsequios NSE 3; $ 25.000 ;143; $ -   ;;0;;;D1;Hasta ahora vamos a manejarlo;Comisión del 3%;;;;
24;Obsequios NSE 2-1; $ 25.000 ;168; $ -   ;;0;;;;;Fisico aumenta 15.000;;;;
;Total;;403; $ -   ;;;;;Usearch Transferencia bancarias desde México;Comisión  6%;Pago inmediato;;;;
;Comisión de los bonos;;10%; $ -   ;;;;;Angelica Maldonado;Comisión  8%;Pago inmediato;;;;
;Total con comisión;;; $ -   ;;;;;;;;;;;
 $ 650.000 ;Locacion btá; $ 683.800 ;14; $ -   ;con gross ops, %; $ -   ;;;;;;;;;
 $ 756.000 ;Locacion Mdellín; $ 795.312 ;14; $ -   ;; $ -   ;;;;;;;;;
 $ 860.000 ;Locación Barranquilla; $ 904.720 ;14; $ -   ;; $ -   ;;;;;;;;;
 $ 600.000 ;Locación cali; $ 683.800 ;14; $ -   ;; $ -   ;;;;;;;;;
;Fotocopias ;; 7 ; - ;;;;;;;;;;;
;Total;;; $ -   ;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Costo Unitario;ID;ACTIVIDAD;PRESUPUESTADO;UNIDADES;DESCRIPCION;HORAS;;;;;;;;;
 $ 3.260 ;1300;Transportes PST Encuestadores;$ 42.396;13;Dias;0; $ 3.261,23 ; $ 438.092,00 ;;;;;;;
 $ 6.522 ;1301;Transportes PST Supervisores;$ 19.567;3;Dias;0; $ 3.727,05 ;;Bimbo;;;;;;
 $ 4.737,31 ;4428;Duplicar cuestionarios e instructivos;$ 75.797;16;Paginas;0; $ 4.737,31 ;; 50.000 ;;;;;;
 $ 10.465,30 ;5400;Realización encuestas personal;$ 1.046.530;13;Dias;0; $ 10.465,30 ; $ 13.726,53 ;;;;;;;
 $ 102.036,33 ;5401;Supervisión de campo personal;$ 306.109;3;Dias;0; $ 102.036,33 ;$ 102.036;;;;;;;
 $ 134.681,00 ;5402;Campo Coordinación;$ 134.681;1;Dias;0; $ 134.681,00 ;;;;;;;;
 $ 28.683,63 ;5403;Verificacion Campo;$ 229.469;8;Horas;0; $ 28.683,63 ;;;;;;;;
 $ 26.526,67 ;5409;Entrenamiento a equipos de campo;$ 79.580;3;Horas;0; $ 26.526,67 ;;;;;;;;
 $ 15.000,00 ;5430;Reclutamiento campo presencial;$ 1.500.000;100;Reclutados;0; $ 15.000,00 ;;;;;;;;
 $ 4.476,00 ;5431;Productos para pruebas;$ 447.600;100;Productos;0; $ 4.476,00 ; $ -   ;Bimbo; $ -   ;;;;;
 $ 81.000 ;5433;Apoyo logistico localizacion central;$ 160.844;2;Dias;0; $ 80.422,00 ;; 81.000 ;;;;;;
 $ 93,61 ;5472;Verificacion-Campo Costo telefónico;$ 15.445;165;Minutos;0; $ 93,61 ;;;;;;;;
 $ 1.360,60 ;5504;Crítica Encuestas;$ 149.666;110;<-Encuestas-Horas->;5; $ 1.360,60 ;;Bimbo;;;;;;
 $ 25.740 ;5506;Codificación;$ 718.699;31;Horas;0; $ 23.183,84 ;; $ 25.872 ;;;;;;
 $ 54.235 ;5601;Scripting;$ 1.973.553;41;Horas;0; $ 48.135,44 ;; $ 54.000 ;;;;;;
 $ 54.235 ;5701;Datacleaning;$ 693.762;18;Horas;0; $ 38.542,33 ;; $ 54.000 ;;;;;;
 $ 54.235 ;5705;TopLines;$ 693.762;18;Horas;0; $ 38.542,33 ;; $ 54.000 ;;;;;;
 $ 54.235 ;5710;Procesamiento;$ 693.762;18;Horas;0; $ 38.542,33 ;; $ 54.000 ;;;;;;
 $ 54.235 ;5720;Conversión/generación archivos ASCII y otros;$ 353.259;9;Horas;0; $ 39.251,00 ;; $ 54.000 ;;;;;;
;;;;;;;;;;;;;;;
;;;$ 9.334.481;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Producto;Otro;3200 GR;1 Gramo a Kilos;Gramos a Kilos;;;;;;;;;;
;gramos;0;25;0,001;1000;;;;;;;;;;
;Muestra;0;;;;;;;;;;;;;
;Total;0;0;0;;;;;;;;;;;
;Kilos;;;0;;;;;;;;;;;
;Kilos cobrados;;;0;;;;;;;;;;;
 $ 14.000,00 ;1er Kilo;; $ 14.728,00 ;1; $ 14.728,00 ;;;;;;;;;;
 $ 3.000,00 ;Kl adicional;; $ 3.156,00 ;-1; $ 11.572,00 ;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
