Modulo,Adapter.Metodo,SP,FuenteVerificacion
Catalogos,IGdCatalogosAdapter.ObtenerTipoSolicitudes,GD_TipoSolicitud_Get,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.CrearTipoSolicitud,GD_TipoSolicitud_Add,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.ActualizarTipoSolicitud,GD_TipoSolicitud_Edit,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.EliminarTipoSolicitud,GD_TipoSolicitud_Del,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.ObtenerEstadosSolicitud,GD_Estados_Get,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.CrearEstadoSolicitud,GD_EstadoSolicitud_Add,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.ActualizarEstadoSolicitud,GD_EstadoSolicitud_Edit,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.EliminarEstadoSolicitud,GD_EstadoSolicitud_Del,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.ObtenerProcesos,GD_Procesos_Get,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.CrearProceso,GD_Procesos_Add,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.ActualizarProceso,GD_Procesos_Edit,CO_Matrix_SP_Names.csv
Catalogos,IGdCatalogosAdapter.EliminarProceso,GD_Procesos_Del,CO_Matrix_SP_Names.csv
Maestro,IGdMaestroAdapter.ObtenerMaestros,GD_MaestroDocumentos_Get,CO_Matrix_SP_Names.csv
Maestro,IGdMaestroAdapter.CrearMaestro,GD_MaestroDocumentos_Add2,CO_Matrix_SP_Names.csv
Maestro,IGdMaestroAdapter.AgregarDocumentoControlado,GD_DocumentosControlados_Add,CO_Matrix_SP_Names.csv
Maestro,IGdMaestroAdapter.ActualizarMaestro,GD_DocumentosMaestros_Update,CO_Matrix_SP_Names.csv
Maestro,IGdMaestroAdapter.AnularControlado,GD_DocumentosControlados_Activo,CO_Matrix_SP_Names.csv
Repositorio,IGdRepositorioAdapter.ObtenerDocumentosXTrabajo,GD_RepositorioDocumentos_GetXTrabajo,CO_Matrix_SP_Names.csv
Repositorio,IGdRepositorioAdapter.UploadDocumento,GD_RepositorioDocumentos_Add,CO_Matrix_SP_Names.csv
Repositorio,IGdRepositorioAdapter.EliminarEscaner,GD_EscanerDocumentos_Del,CO_Matrix_SP_Names.csv
Solicitudes,IGdSolicitudesAdapter.CrearSolicitud,GD_SolDocumentos_Add,CO_Matrix_SP_Names.csv
Solicitudes,IGdSolicitudesAdapter.AsignarRevisores,GD_Revisiones_Add,CO_Matrix_SP_Names.csv
Solicitudes,IGdSolicitudesAdapter.ObtenerUsuarios,GD_US_Usuarios_Get,CO_Matrix_SP_Names.csv
Aprobaciones,IGdAprobacionesAdapter.ObtenerRevisiones,GD_Revisiones_GetRev,CO_Matrix_SP_Names.csv
Aprobaciones,IGdAprobacionesAdapter.EditarRevision,GD_Revisiones_Edit,CO_Matrix_SP_Names.csv
