BI;sp_TransferiListaJob
dbo;_Ciudades_Get
dbo;_Constantes_Get
dbo;_Generalidades_Get
dbo;_Idiomas_Get
dbo;_LlenarTablaListadoFechas_WORK
dbo;_Paises_Get
dbo;ACM_AccionesMejora_Edit
dbo;ACM_AccionMejora_Add
dbo;AJ_ActualizarJobBooks
dbo;AJ_ActualizarRevisadoAprobado
dbo;AJ_ActualizarRevisadoSinAprobar
dbo;AJ_ActualizarRevisarAprobarAlternativa
dbo;AJ_ActualizarSinRevisarSinAprobar
dbo;AJ_ActualizarSinRevisarSinAprobarAlternativa
dbo;AJ_AjusteBorrarUnaActividad
dbo;AJ_AjusteCostoProcesosInternos
dbo;AJ_AjusteCostosMysteryShopper
dbo;AJ_AjusteCostosMysteryShopper_2323_alt2
dbo;AJ_AjusteCostosMysteryShopper_Matrix
dbo;AJ_AjusteCostosMysteryShopperTerpelExpedicion
dbo;AJ_AjusteCostosMysteryShopperTerpelTravesia
dbo;AJ_AjusteCostosMysteryShopperUnasActividades
dbo;AJ_AjusteUnaActividad
dbo;aspnet_AnyDataInTables
dbo;aspnet_Applications_CreateApplication
dbo;aspnet_CheckSchemaVersion
dbo;aspnet_Membership_ChangePasswordQuestionAndAnswer
dbo;aspnet_Membership_CreateUser
dbo;aspnet_Membership_FindUsersByEmail
dbo;aspnet_Membership_FindUsersByName
dbo;aspnet_Membership_GetAllUsers
dbo;aspnet_Membership_GetNumberOfUsersOnline
dbo;aspnet_Membership_GetPassword
dbo;aspnet_Membership_GetPasswordWithFormat
dbo;aspnet_Membership_GetUserByEmail
dbo;aspnet_Membership_GetUserByName
dbo;aspnet_Membership_GetUserByUserId
dbo;aspnet_Membership_ResetPassword
dbo;aspnet_Membership_SetPassword
dbo;aspnet_Membership_UnlockUser
dbo;aspnet_Membership_UpdateUser
dbo;aspnet_Membership_UpdateUserInfo
dbo;aspnet_Paths_CreatePath
dbo;aspnet_Personalization_GetApplicationId
dbo;aspnet_PersonalizationAdministration_DeleteAllState
